"hospital_name","district","nearest_nh","distance_meters"
"A K Hospital","Ajmer","Ajmer Beawer Udaipur road","288.04"
"Aadinath Cancer Medicity Hospital Ajmer","Ajmer","Ajmer Pushkar Bikaner road","3293.94"
"Adarsh Hospital & Diabeties Care Centre","Ajmer","Ajmer Beawer Udaipur road","780.96"
"Ajmer E.N.T. Hospital","Ajmer","Link Road to Bandiya ki Dhani","2411.84"
"Ajmer Hospital","Ajmer","Link Road to Bandiya ki Dhani","822.06"
"Amrit Ayurved Panchakarma Hospital & Research Centre","Ajmer","Link Road to Bandiya ki Dhani","477.59"
"Anand Clinic and Diagnostic Centre","Ajmer","Ajmer Beawer Udaipur road","514.66"
"Anand Multispeciality Hospital & Research Centre","Ajmer","Beawar Bar Pali road","33.10"
"Ayurved Hospital","Ajmer","AJMER CHHITORGARH ROAD","1908.05"
"Bachpan Hospital","Ajmer","Link Road to Bandiya ki Dhani","261.76"
"Bharat Hospital","Ajmer","Link Road to Bandiya ki Dhani","1082.75"
"Bhargavi Nursing Home","Ajmer","Ajmer Beawar Udaipur Road","3221.41"
"City Hospital","Ajmer","Link Road to Bandiya ki Dhani","1043.83"
"CRPF Composite Hospital","Ajmer","Link Road to Bandiya ki Dhani","1824.21"
"Deepmala Pagarani Hospital and Research Centre","Ajmer","Ajmer Beawar Udaipur Road","1679.97"
"Dental Hospital","Ajmer","AJMER CHHITORGARH ROAD","1814.17"
"Dhapi Bai Ramniwas Heda Hospital","Ajmer","Ajmer Beawer Udaipur road","393.17"
"Dr. Khunger Eye Care and Research Centre Pvt Ltd","Ajmer","Ajmer Beawar Udaipur Road","3351.12"
"Dr. Nandlal Hospital and Research Centre","Ajmer","Link Road to Bandiya ki Dhani","3081.53"
"Dr. Pradeep Jain","Ajmer","Link Road to Bandiya ki Dhani","2612.08"
"Dr. R K Endocrine Centre","Ajmer","Ajmer Beawar Udaipur Road","3361.71"
"Dr. Vijay ENT Hospital","Ajmer","Link Road to Bandiya ki Dhani","3644.90"
"Dr. Vinay Kapoor","Ajmer","AJMER CHHITORGARH ROAD","1710.96"
"Dr.Kshetrapal Eye Hospital and Lasik Laser Centre","Ajmer","Link Road to Bandiya ki Dhani","254.87"
"Dr.Maurya Eye Hospital","Ajmer","Ajmer Beawer Udaipur road","341.45"
"Dubey Clinic","Ajmer","Link Road to Bandiya ki Dhani","529.22"
"Getwell Hospital & Maternity Home","Ajmer","Link Road to Bandiya ki Dhani","2252.57"
"Government Ayurved Hospital","Ajmer","Ajmer Beawer Udaipur road","691.61"
"Government Hospital Bijainagar","Ajmer","Ajmer Nasirabad Bhilwara road","1336.68"
"Government Hospital Nasirabad","Ajmer","AJMER CHHITORGARH ROAD","1708.69"
"Government Hospital, Deoliya Kalan","Ajmer","Bheem Padasoli Gulabpura Shahpura Jahazpur Hindoli Nainwa","4831.62"
"Government Hospital, Gaddi Maliyan","Ajmer","Ajmer Beawar Udaipur Road","2266.47"
"Government Hospital, Gohana","Ajmer","Ajmer Beawer Udaipur road","1294.93"
"Government Hospital, Pahar Ganj","Ajmer","Link Road to Bandiya ki Dhani","2061.90"
"Government Hospital, Parao","Ajmer","Link Road to Bandiya ki Dhani","692.58"
"Government Primary Satellite Hospital","Ajmer","Link Road to Bandiya ki Dhani","2639.83"
"Government Y.N Hospital","Ajmer","Jaipur Ajmer Road","1926.81"
"Goyal Hospital","Ajmer","AJMER CHHITORGARH ROAD","1819.66"
"GPM Nursing Home Care","Ajmer","Ajmer Pushkar Bikaner road","2122.53"
"Hada Hospital","Ajmer","Ajmer Beawar Udaipur Road","2159.38"
"J M D Hospital","Ajmer","Ajmer Beawer Udaipur road","1112.66"
"J.L.N.Medical College and Hospital,Ajmer","Ajmer","Link Road to Bandiya ki Dhani","210.89"
"Jai Clinic","Ajmer","Ajmer Beawer Udaipur road","905.69"
"Jain Fertility and Child Icu Hospital","Ajmer","Ajmer Beawer Udaipur road","18.30"
"Janana Hospital Ajmer","Ajmer","Ajmer Pushkar Bikaner road","85.15"
"Jeevan Jyoti Hospital","Ajmer","Ajmer Beawar Udaipur Road","3284.80"
"JMD Hospital & Research Centre","Ajmer","Ajmer Beawer Udaipur road","243.10"
"Jyotirmaya Eye Hospital","Ajmer","Ajmer Beawer Udaipur road","919.72"
"Kamlesh Memorial Hospital","Ajmer","Link Road to Bandiya ki Dhani","1807.10"
"Kathat Clinic","Ajmer","Ajmer Beawer Udaipur road","435.08"
"Kothari Eye Hospital","Ajmer","Link Road to Bandiya ki Dhani","2882.91"
"Kshetrapal Hospital Multispeciality & Research Centre","Ajmer","Ajmer Pushkar Bikaner road","3335.15"
"Ladli Hospital and Diagnostic Centre","Ajmer","AJMER CHHITORGARH ROAD","1923.80"
"Malik Hospital & Fertility Centre","Ajmer","Link Road to Bandiya ki Dhani","427.12"
"Manipal Hospitals","Ajmer","Link Road to Bandiya ki Dhani","705.73"
"Marble City Hospital","Ajmer","Jaipur Ajmer Road","115.25"
"Matra Mangal Hospital","Ajmer","Ajmer Beawar Udaipur Road","2816.25"
"Mavens Hospital","Ajmer","Link Road to Bandiya ki Dhani","2580.44"
"Mayani Hospital","Ajmer","Link Road to Bandiya ki Dhani","1896.99"
"Mental Hospital","Ajmer","Ajmer Beawer Udaipur road","603.76"
"Mewar Hospital","Ajmer","Ajmer Pushkar Bikaner road","3549.47"
"Mewar Hospitals","Ajmer","Link Road to Bandiya ki Dhani","570.20"
"Mission Hospital","Ajmer","AJMER CHHITORGARH ROAD","1467.23"
"Mukta Mishri ENT Care","Ajmer","Ajmer Beawer Udaipur road","577.82"
"Navjeevan Hospital and Research Centre","Ajmer","Ajmer Beawar Udaipur Road","1721.12"
"Parshwanath Hospital","Ajmer","Ajmer Beawer Udaipur road","366.12"
"Parshwathnath Hospital","Ajmer","Ajmer Beawer Udaipur road","589.88"
"Porwal Nursing Home","Ajmer","Link Road to Bandiya ki Dhani","3007.67"
"Pratap Memorial Hospital and Research Centre","Ajmer","Link Road to Bandiya ki Dhani","244.00"
"R.D. Mittal Hospital","Ajmer","Jaipur Ajmer Road","1438.76"
"R.K. Hospital","Ajmer","Link Road to Bandiya ki Dhani","3074.54"
"R.K.Hospital","Ajmer","Link Road to Bandiya ki Dhani","3009.40"
"Railway Hospital","Ajmer","Link Road to Bandiya ki Dhani","2603.23"
"Rajat Hospital & Research Centre","Ajmer","Beawar-Bar-Pali-Sirohi up to Gujrat Bordar","301.01"
"Rathi Hospital","Ajmer","Ajmer Beawer Udaipur road","273.53"
"Rathi Hospital, Kishangarh","Ajmer","Jaipur Ajmer Road","1417.93"
"Rishi Ortho Hospital","Ajmer","Ajmer Beawer Udaipur road","199.16"
"Sanjeevani Homoeopathic Clinic","Ajmer","Link Road to Bandiya ki Dhani","3647.99"
"Sanjeevani Hospital","Ajmer","Link Road to Bandiya ki Dhani","1842.18"
"Sanjivani Hospital","Ajmer","Link Road to Bandiya ki Dhani","1801.18"
"Saran Hospital","Ajmer","Link Road to Bandiya ki Dhani","3563.86"
"Saroj Hospital","Ajmer","Jaipur Ajmer Road","1637.47"
"Satellite Hospital","Ajmer","Ajmer Beawar Udaipur Road","1431.20"
"Satellite Hospital Adarsh Nagar","Ajmer","Ajmer Beawar Udaipur Road","1168.90"
"Sewa Mandir Polyclinic","Ajmer","Link Road to Bandiya ki Dhani","2274.01"
"Sewarth Homeopathy Hospital","Ajmer","Link Road to Bandiya ki Dhani","3070.76"
"Sharma Clinic and Nursing Home","Ajmer","Kishangarh Nasirabad Road (Left Out Portion as Byepass)","1477.21"
"Sharma Hospital & Diagnostic Centre","Ajmer","Ajmer Beawar Udaipur Road","1699.78"
"Shekhawat Hospital","Ajmer","Ajmer Beawer Udaipur road","1288.23"
"Shekhwat Trust Hospital","Ajmer","Ajmer Beawer Udaipur road","525.45"
"Shifa Ayurvedic Centre","Ajmer","Beawar Bar Pali road","1850.54"
"Shree Balaji Hospital","Ajmer","Ajmer - Nasirabad","24.94"
"Shree Charbhuja Hospital","Ajmer","Link Road to Bandiya ki Dhani","3474.98"
"Shree Kanak Hospital","Ajmer","Link Road to Bandiya ki Dhani","3220.72"
"Shree Maternity Child Hospital","Ajmer","Beawar Bar Pali road","761.82"
"Shree PKV Hospital","Ajmer","Ajmer Nasirabad Bhilwara road","889.27"
"Shri Chandra Jain Hospital","Ajmer","Ajmer Beawer Udaipur road","470.35"
"Shri Pushkar Jain Hospital","Ajmer","Jaipur Ajmer Road","1627.55"
"Shri Rana Hospital & Diagnostic Centre","Ajmer","Link Road to Bandiya ki Dhani","3245.32"
"Shubham Hospital","Ajmer","Jaipur Ajmer Road","1224.07"
"Shubham Nursing Home & Diagnostic Centre","Ajmer","Jaipur Ajmer Road","1255.15"
"Sir Jitendra Government Hospital","Ajmer","Link Road to Bandiya ki Dhani","1653.35"
"SRK ENT Hospital","Ajmer","Jaipur Ajmer Road","1581.97"
"St Francis Hospital, Ajmer","Ajmer","Link Road to Bandiya ki Dhani","1697.87"
"St. Francis Hospital","Ajmer","Link Road to Bandiya ki Dhani","1583.06"
"Sumitra ENT Clinic","Ajmer","AJMER CHHITORGARH ROAD","1920.79"
"T B Hospital","Ajmer","Ajmer Beawer Udaipur road","779.57"
"Upchar Hospital & Diagnostic Centre","Ajmer","Jaipur Ajmer Road","400.03"
"Upchar Hospital and Diagonstic Centre","Ajmer","Jaipur Ajmer Road","1872.88"
"Uttamchandani Homoeopathic Chikitsalay","Ajmer","Ajmer Beawer Udaipur road","731.72"
"Vaishali Hospital and Research Centre","Ajmer","Link Road to Bandiya ki Dhani","610.75"
"Y.N. Hospital","Ajmer","Ajmer Beawar Udaipur Road","1718.49"
"Aarti Memorial Hospital","Alwar","Delhi Alwar Shahpura Road","2296.99"
"Advance Hospital","Alwar","Delhi Alwar Shahpura Road","851.53"
"Alwar Eye Hospital","Alwar","Delhi Alwar Shahpura Road","1149.31"
"Alwar Hospital and Research Centre","Alwar","Delhi Alwar Shahpura Road","46.43"
"Anil Nursing Home","Alwar","Delhi Alwar Shahpura Road","1203.52"
"Anurag Hospital","Alwar","Delhi Alwar Shahpura Road","1209.30"
"Apex Hospital","Alwar","Delhi Alwar Shahpura Road","863.16"
"Arihant Hospital","Alwar","Delhi Alwar Shahpura Road","1220.64"
"Arora Orthodontic Hospital","Alwar","Delhi Alwar Shahpura Road","1438.25"
"Ayaan Hospital","Alwar","Delhi Alwar Shahpura Road","2748.57"
"Ayush Hospital","Alwar","Delhi Alwar Shahpura Road","3534.42"
"B Lal Children Hospital","Alwar","Delhi Alwar Shahpura Road","1014.76"
"Chandra Clinic","Alwar","Delhi Alwar Shahpura Road","4580.05"
"Chopra Orthopedic Hospital","Alwar","Delhi Alwar Shahpura Road","894.64"
"City Hospital Alwar","Alwar","Delhi Alwar Shahpura Road","476.11"
"Daksh hospital","Alwar","Delhi Alwar Shahpura Road","746.50"
"Darshan Hospital - Alwar","Alwar","Delhi Alwar Shahpura Road","1212.66"
"Dev Jan Day Eye Care Centre","Alwar","Delhi Alwar Shahpura Road","172.05"
"Devjan Eye Hospital","Alwar","Delhi Alwar Shahpura Road","109.72"
"Dhanesh Hospital","Alwar","Delhi Alwar Shahpura Road","195.53"
"Diamond Hospital","Alwar","Delhi Alwar Shahpura Road","484.30"
"District Children Hospital","Alwar","Delhi Alwar Shahpura Road","846.29"
"Dr Ghanshyam Neuro Spinal and Trauma Hospital","Alwar","Delhi Alwar Shahpura Road","2803.16"
"Dr R K Sharma","Alwar","Delhi Alwar Shahpura Road","1501.46"
"Dr. Abhishek Goyal","Alwar","Delhi Alwar Shahpura Road","647.43"
"Dr. Ajeet Hospital","Alwar","Delhi Jaipur Ajmer road","777.48"
"Dr. Amit Khandelwal","Alwar","Delhi Alwar Shahpura Road","1660.43"
"Dr. Chhitarmal Sharma Hospital","Alwar","Delhi Alwar Shahpura road","124.47"
"Dr. Devyani Ranawat Hospital","Alwar","Delhi Alwar Shahpura Road","1004.59"
"Dr. Dinesh Kumar Gour Clinic","Alwar","Delhi Jaipur Ajmer road","966.65"
"Dr. J.S. Sharma","Alwar","Delhi Alwar Shahpura Road","2005.79"
"Dr. Jain Chaman","Alwar","Delhi Alwar Shahpura Road","89.01"
"Dr. K.S. Arora Kharak Singh","Alwar","Delhi Alwar Shahpura Road","1404.30"
"Dr. Kalpana Mathur","Alwar","Delhi Alwar Shahpura Road","491.41"
"Dr. Manish Jain Clinic","Alwar","Delhi Alwar Shahpura Road","680.80"
"Dr. Mukesh Saini Skin Care Clinic","Alwar","Delhi Alwar Shahpura Road","1057.53"
"Dr. Pankaj Sharma Hospital","Alwar","Delhi Alwar Shahpura Road","1146.81"
"Dr. Patel Hospital","Alwar","Delhi Alwar Shahpura Road","426.98"
"Dr. S K Sharma","Alwar","Delhi Alwar Shahpura Road","775.54"
"Dr. Sumit mittal","Alwar","Delhi Alwar Shahpura Road","379.41"
"ECHS Polyclinic","Alwar","Delhi Jaipur Ajmer road","860.36"
"Employee's State Insurance Corporation Hospital","Alwar","Delhi Alwar Shahpura road","1588.30"
"Garg Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","915.60"
"Geetanand Children Hospital","Alwar","Delhi Alwar Shahpura Road","872.55"
"Geetanjali Hospital","Alwar","Delhi Alwar Shahpura Road","904.22"
"Global Hospital","Alwar","Delhi Alwar Shahpura Road","578.50"
"Government Ayurveda Hospital","Alwar","Delhi Alwar Shahpura Road","1827.54"
"Government District Ayurveda Hospital","Alwar","Delhi Alwar Shahpura Road","3583.12"
"Government Homeopathic Hospital","Alwar","Delhi Alwar Shahpura Road","2080.73"
"Government Hospital Thanagazi","Alwar","SHAHPURA TO GURGAON VIA ALWAR RAMGARH NUH","1395.66"
"Government Hospital, Basai Jogiyan","Alwar","SHAHPURA TO GURGAON VIA ALWAR RAMGARH NUH","2635.49"
"Government Hospital, Behror","Alwar","Delhi Jaipur Ajmer road","1603.17"
"Government Hospital, Jonaicha Khurd","Alwar","Delhi Jaipur Ajmer road","2041.48"
"Government Hospital, Mubarikpur","Alwar","Delhi Alwar Shahpura road","4768.83"
"Government Life line Hospital","Alwar","Delhi Alwar Shahpura Road","1422.81"
"Gulab Memorial Hospital","Alwar","Delhi Jaipur Ajmer road","1466.00"
"Gupta Dental Hospital","Alwar","Delhi Alwar Shahpura Road","1559.51"
"Gupta ENT and Heart Centre","Alwar","Delhi Alwar Shahpura Road","987.60"
"Gupta Nursing Home","Alwar","Delhi Jaipur Ajmer road","1134.97"
"Harish Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","1417.15"
"health care","Alwar","Delhi Alwar Shahpura Road","2207.41"
"Hi-Tech Hospital","Alwar","Delhi Alwar Shahpura Road","1144.28"
"Indoria Homoeopathic Hospital & Research Centre","Alwar","Delhi Alwar Shahpura Road","2443.15"
"J D Hospital","Alwar","Delhi Alwar Shahpura road","1810.45"
"Jai Hospital and Trauma Centre","Alwar","Delhi Alwar Shahpura road","25.81"
"Jain Eye Care","Alwar","Delhi Alwar Shahpura Road","1341.01"
"Jhalani Eye Hospital","Alwar","Delhi Alwar Shahpura Road","1160.85"
"Johri Hospital","Alwar","Delhi Alwar Shahpura Road","1244.91"
"Joshi Dental Hospital","Alwar","Delhi Alwar Shahpura Road","873.98"
"Joshi Eye Hospital","Alwar","Delhi Alwar Shahpura Road","201.61"
"Joy Children Hospital","Alwar","Delhi Alwar Shahpura Road","1013.18"
"K.K. Hospital","Alwar","Delhi Alwar Shahpura Road","1635.88"
"Kailash Hospital and Heart Institute","Alwar","Delhi Jaipur Ajmer road","175.14"
"Kalyan Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","1551.51"
"Kamla Nursing Home","Alwar","Delhi Alwar Shahpura Road","1681.03"
"Lions Hospital","Alwar","Delhi Alwar Shahpura Road","966.30"
"Madhuri Hospital","Alwar","Delhi Alwar Shahpura Road","1149.05"
"Mahalaxmi Multispeciality Dental Hospital","Alwar","Delhi Alwar Shahpura Road","912.72"
"Mahavir HospitaL","Alwar","Delhi Alwar Shahpura Road","31.03"
"Mahindirattha Hospital","Alwar","Delhi Alwar Shahpura Road","2280.52"
"Manju Hospital","Alwar","Delhi Alwar Shahpura Road","1191.11"
"Manohar Eye Hospital","Alwar","Delhi Alwar Shahpura road","1999.04"
"Mehar Memorial Nursing Home","Alwar","Delhi Alwar Shahpura Road","590.85"
"Mendiratta Hospital","Alwar","Chandwaji to Jaipur","36.18"
"Miltary Hospital","Alwar","Delhi Alwar Shahpura Road","1917.71"
"Mishri Devi Eye Hospital","Alwar","Delhi Jaipur Ajmer road","1262.79"
"Mittal Child Hospital","Alwar","Delhi Alwar Shahpura Road","1257.21"
"Mittal Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","945.16"
"MTH Hospital","Alwar","Delhi Alwar Shahpura Road","1009.95"
"Nandni Hospital","Alwar","Delhi Alwar Shahpura Road","1016.49"
"Naveen Clinic","Alwar","Delhi Alwar Shahpura Road","2135.91"
"Navjeevan Hospital and Truma Centre","Alwar","Delhi Alwar Shahpura Road","1457.79"
"Neha Hospital","Alwar","Delhi Alwar Shahpura Road","1672.70"
"Netra Jyoti Hospital","Alwar","Delhi Alwar Shahpura Road","901.97"
"Netra Jyoti Phaco and Laser Centre","Alwar","Delhi Alwar Shahpura Road","1262.51"
"Om Hospital","Alwar","Delhi Jaipur Ajmer road","1339.13"
"Patel Hospital","Alwar","Delhi Alwar Shahpura Road","261.69"
"Patodiya Hospital","Alwar","Delhi Alwar Shahpura Road","1367.46"
"Pragati Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","2439.62"
"Prime eye Hospital and Lasik centre","Alwar","Delhi Alwar Shahpura Road","1144.48"
"Priyanka Hospital","Alwar","Delhi Alwar Shahpura Road","1821.52"
"R.K Hospital","Alwar","Delhi Jaipur Ajmer road","1975.47"
"Raath Hospital","Alwar","Delhi Jaipur Ajmer road","307.50"
"Railway Hospital","Alwar","Delhi Alwar Shahpura Road","12.70"
"Rajasthan Eye Centre","Alwar","Delhi Alwar Shahpura Road","1037.27"
"Rajesh Hospital","Alwar","Delhi Alwar Shahpura Road","1555.10"
"Rajesh Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","1073.73"
"Rajkiya Satellite Hospital, Kala Kuan","Alwar","Delhi Alwar Shahpura Road","1306.39"
"Ram Eye Hospital","Alwar","Delhi Jaipur Ajmer road","1212.10"
"Sachkhand Hospital","Alwar","Delhi Jaipur Ajmer road","603.72"
"Safiya Hospital","Alwar","Delhi Alwar Shahpura road","1849.01"
"Sahil Hospital Alwar","Alwar","Delhi Alwar Shahpura Road","485.34"
"Sai Charitable Hospital","Alwar","Delhi Alwar Shahpura Road","3266.56"
"Samir ENT Hospital","Alwar","Delhi Alwar Shahpura Road","934.72"
"Sania Hospital","Alwar","Delhi Alwar Shahpura Road","1170.98"
"Sant Sukhdev Shah Institute Of Medical Sciences","Alwar","Delhi Alwar Shahpura Road","1496.53"
"Sapra Hospital","Alwar","Delhi Alwar Shahpura Road","1310.52"
"Shree Shyam Lal Juneja Hospital","Alwar","Delhi Alwar Shahpura Road","1419.72"
"Shri Govind Dev Ji Maharaj Chikitsa and Swastha Sanstha","Alwar","Delhi Alwar Shahpura Road","797.76"
"Shri Pushkar Jain Hospital","Alwar","Jaipur Ajmer Road","1432.52"
"Shri Shri Hospital and Maternity Home","Alwar","Delhi Alwar Shahpura Road","1145.93"
"Shubham Hospitals","Alwar","Delhi Alwar Shahpura Road","2286.35"
"Singhal Hospital","Alwar","Delhi Alwar Shahpura Road","1065.97"
"SKL Hospital","Alwar","SHAHPURA TO GURGAON VIA ALWAR RAMGARH NUH","4751.54"
"Solanki Hospital","Alwar","Delhi Alwar Shahpura Road","993.22"
"Soni Devi Memorial Hospital","Alwar","Delhi Jaipur Ajmer road","989.33"
"Soni Eye Care Centre","Alwar","Delhi Alwar Shahpura Road","832.50"
"Sonia Children Hospital","Alwar","Delhi Alwar Shahpura Road","937.78"
"Sunil Nursing Home","Alwar","Delhi Alwar Shahpura Road","1441.41"
"Sunita Hospital","Alwar","Delhi Alwar Shahpura Road","908.89"
"Sunita Yadav Hospital","Alwar","Delhi Alwar Shahpura Road","2989.79"
"Supreme Hospital","Alwar","Delhi Alwar Shahpura Road","1168.58"
"Suresh Gera Eye Care Centre","Alwar","Delhi Alwar Shahpura Road","898.80"
"TB Hospital","Alwar","Delhi Alwar Shahpura Road","781.68"
"Thareja Hospital","Alwar","Delhi Alwar Shahpura Road","1031.38"
"Tiwari Clinic","Alwar","Delhi Alwar Shahpura Road","1689.15"
"Vajayanti Hospital and Research Centre","Alwar","Delhi Alwar Shahpura Road","1603.30"
"Vijay Hospital","Alwar","Delhi Jaipur Ajmer road","155.00"
"Vimal Hospital, Alwar","Alwar","Delhi Alwar Shahpura Road","1304.73"
"Aashirwaad Hospital","Banswara","Nimbahera  Banswara Dohad road","18.37"
"Aasma Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","844.61"
"Anand Hospital and Maternity Home","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","45.64"
"Anand Orthopaedic Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","654.38"
"Ashish Hospital","Banswara","Dungarpur Sagwara Banswara up to Ratlam in MP","27.80"
"Bhatnagar Nursing & Maternity Home","Banswara","Nimbahera Banswara Dahod Road NH-113","55.99"
"Bhatnagar Nursing and Maternity Home","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","104.24"
"Bony Baby Clinic and Daignostic Centre","Banswara","Nimbahera Banswara Dahod Road NH-113","185.48"
"Burhani Hospital","Banswara","Dungarpur Sagwara Banswara up to Ratlam in MP","93.04"
"Charpota Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","3261.72"
"Danpur Government Hospital","Banswara","Kherwara Dungarpur Banswara Ratlam upto State Border","50.08"
"Dharti Hospital","Banswara","Nimbahera  Banswara Dohad road","19.38"
"Dr. Jain Eye Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","79.06"
"Dr. Kirtish Jain","Banswara","Nimbahera Banswara Dahod Road NH-113","23.40"
"Dr. Kothari Surgical Nursing Home","Banswara","Nimbahera Banswara Dahod Road NH-113","26.76"
"Dr. R. K. Singh Homoeopathic Clinic","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","843.90"
"Dr. Shailendra Jain","Banswara","Nimbahera Banswara Dahod Road NH-113","55.68"
"Drishthi Eye Clinic","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","228.30"
"Fakhri Hospital","Banswara","Dungarpur Sagwara Banswara up to Ratlam in MP","232.20"
"GKB Gujrati Multispeciality Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","674.51"
"Government Ayurvedic Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","33.47"
"Government Hospital, Chhoti Sarwan","Banswara","Kherwara Dungarpur Banswara Ratlam upto State Border","61.63"
"Government Hospital, Ghalkiya","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","3267.74"
"Gyayak Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","40.94"
"Keshav Hospital","Banswara","Rajsamand (NH-8) ,Gangapur, Bhilwara, Mandalgarh, Ladpura.","1375.52"
"Kothari Child Care Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","469.00"
"Laddha Clinic","Banswara","Ajmer Bhilwara Chittorgarh Ratlam Indore Road","4167.87"
"Laddha Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","191.18"
"Mahatma Gandhi Government Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","38.87"
"Maryam Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","30.12"
"MGH Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","153.09"
"Pankaj Nursing Home","Banswara","Nimbahera Banswara Dahod Road NH-113","18.35"
"Paras Hospital","Banswara","Dungarpur Sagwara Banswara up to Ratlam in MP","23.88"
"S. Mission Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","124.11"
"Saikripa Clinic","Banswara","Nimbahera Pratapgarh -Banswara Dahod Road","38.94"
"Shekhawat Orthopedic","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","943.17"
"Suvidha Clinic","Banswara","Dungarpur Sagwara Banswara up to Ratlam in MP","58.56"
"Taly Memorial Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","171.41"
"V P Ayurvedic","Banswara","Nimbahera Banswara Dahod Road NH-113","987.54"
"Vardhman Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","218.05"
"Wagad Hospital","Banswara","Nimbahera Banswara Dahod Road NH-113","143.71"
"Yadav Fracture & Orthopaedic Hospital","Banswara","Sirohi Kherwara Dungarpur Banswara Ratlam road","366.98"
"Amit Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","1960.49"
"Ansari Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","23.90"
"Batra Eye Hospital","Baran","Baran Atru Kawai Chhipabrod Aklera","1552.69"
"Bengali Clinic","Baran","Probhandar to Silchar East-West Corridor","640.59"
"Bhagwati Skin Research Centre","Baran","Baran Atru Kawai Chhipabrod Aklera","1025.07"
"Choudhary Dental Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","1486.77"
"Dr. Bholaram Dilawar's Clinic","Baran","Probhandar to Silchar East-West Corridor","1169.72"
"Dr. Hemant Rathore","Baran","Probhandar to Silchar East-West Corridor","544.72"
"Dr. Prem Narayan Nagar","Baran","Probhandar to Silchar East-West Corridor","1013.58"
"Dr. Santosh Dadwaria Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","773.62"
"Dr. Usha Agrawal Nursing Home","Baran","Baran Atru Kawai Chhipabrod Aklera","1858.61"
"Government Hospital Samraniya","Baran","Probhandar to Silchar East-West Corridor","895.26"
"Government Hospital, Anta","Baran","Probhandar to Silchar East-West Corridor","950.76"
"Government Hospital, Bamuliya Kalan","Baran","Probhandar to Silchar East-West Corridor","376.11"
"Government Hospital, Baran","Baran","Baran Atru Kawai Chhipabrod Aklera","1865.05"
"Government Hospital, Barlan","Baran","Baran Atru Kawai Chhipabrod Aklera","2637.19"
"Government Hospital, Kasbathana","Baran","Probhandar to Silchar East-West Corridor","733.68"
"Goyal Hospital and Emergency Care Centre","Baran","Baran Atru Kawai Chhipabrod Aklera","1774.40"
"Jain Maternity Hospital","Baran","Probhandar to Silchar East-West Corridor","1021.97"
"Jeevandeep General Hospital","Baran","Probhandar to Silchar East-West Corridor","941.90"
"Jonal Hospital","Baran","Probhandar to Silchar East-West Corridor","1040.68"
"Luv Kush Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","231.16"
"Nagar Hospital","Baran","Probhandar to Silchar East-West Corridor","1048.04"
"Parth Ayush Clinic","Baran","Probhandar to Silchar East-West Corridor","664.35"
"Priya Hospital","Baran","Baran Atru Kawai Chhipabrod Aklera","2316.55"
"RADHA KRISHNA MEMORIAL HOSPITAL","Baran","Probhandar to Silchar East-West Corridor","1977.40"
"Rudrakshi Homoeo Care","Baran","Probhandar to Silchar East-West Corridor","998.35"
"Sanjeevani Hospital","Baran","Baran Atru Kawai Chhipabrod Aklera","1900.70"
"Shalu Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","186.71"
"Shree Radhe Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","15.82"
"Shri Ram Clinic","Baran","Baran Atru Kawai Chhipabrod Aklera","850.91"
"Sitabadi Hospital","Baran","Probhandar to Silchar East-West Corridor","1009.52"
"Sitawari Hospital And Research Centre","Baran","Probhandar to Silchar East-West Corridor","1843.48"
"Sparsh Physiotherapy Centre","Baran","Probhandar to Silchar East-West Corridor","921.02"
